Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Clim_ID,time
ABEE AGDM,54.283,-112.967,AB,-13.5,2,NA,4.8,2,-33.5,1,,,NA,27.5,3,NA,,13,,,NA,913.1,0.0,3010010,1451631600.0
ALBERT HALL AGCM,53.113,-111.181,AB,-11.4,0,NA,6.4,0,-37.9,0,,,NA,18.0,0,NA,,4,,,NA,910.7,0.0,3010060,1451631600.0
ALLIANCE AGCM,52.315,-111.779,AB,-9.5,4,NA,6.1,2,-28.9,3,,,NA,5.2,5,NA,,1,,,NA,743.8,0.0,3010162,1451631600.0
ANDREW,54.017,-112.233,AB,-11.3,2,2.1,7.0,2,-33.0,2,20.0,2,NA,20.0,2,NA,,5,,,NA,851.0,0.0,3010234,1451631600.0
ANDREW AGDM,53.917,-112.279,AB,-12.1,3,NA,5.7,2,-35.4,1,,,NA,16.6,4,NA,,4,,,NA,843.0,0.0,3010237,1451631600.0
BELLSHILL AGCM,52.582,-111.465,AB,-11.4,6,NA,6.8,3,-31.1,5,,,NA,2.7,7,NA,,0,,,NA,734.0,0.0,3010650,1451631600.0
BODO AGDM,52.124,-110.101,AB,-9.7,1,NA,6.4,1,-32.2,0,,,NA,10.1,1,NA,,3,,,NA,832.1,0.0,3010730,1451631600.0
BRETON,53.167,-114.483,AB,-6.1,24,NA,18.0,17,-26.0,17,0.0,17,NA,0.0,17,NA,4.0,0,,,NA,168.5,0.0,3010815,1451631600.0
BRETON PLOTS,53.089,-114.441,AB,-7.6,0,NA,13.5,0,-27.3,0,,,NA,7.2,0,NA,,2,,,NA,794.5,0.0,3010816,1451631600.0
BUSBY AGCM,53.931,-113.922,AB,-10.9,0,NA,7.5,0,-27.9,0,,,NA,21.1,0,NA,,9,,,NA,896.0,0.0,3010979,1451631600.0
CADOGAN AGCM,52.334,-110.510,AB,-9.2,2,NA,7.6,2,-33.1,0,,,NA,12.5,2,NA,,3,,,NA,789.4,0.0,3010992,1451631600.0
CALMAR,53.290,-113.863,AB,,,,0.0,29,-14.5,29,0.0,29,NA,0.0,29,NA,,0,,,NA,,,3011120,1451631600.0
CAMROSE,53.050,-112.817,AB,-11.0,0,0.6,7.9,0,-28.5,0,,,NA,10.9,0,48.0,5.0,3,,,NA,898.5,0.0,3011240,1451631600.0
CAMROSE 2,52.950,-112.800,AB,-3.6,28,NA,6.0,23,-29.5,24,0.0,10,NA,0.0,10,NA,,0,,,NA,64.8,0.0,3011241,1451631600.0
CARNWOOD,53.234,-114.654,AB,-8.7,0,NA,14.0,0,-30.0,0,9.0,0,NA,9.0,0,NA,18.0,3,,,NA,828.5,0.0,3011350,1451631600.0
CONSORT AGDM,51.937,-110.713,AB,-11.2,4,NA,3.4,3,-30.8,1,,,NA,9.5,4,NA,,3,,,NA,789.7,0.0,3011815,1451631600.0
CORONATION CLIMATE,52.074,-111.449,AB,-11.7,1,NA,5.4,1,-33.0,0,,,NA,8.2,1,NA,8.0,2,,,NA,890.6,0.0,3011887,1451631600.0
