"Environment and Climate Change Canada"
"Monthly Values for January - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","-14.7","1",NA,"3.8","1","-41.9","0","",,NA,"23.4","2",NA,"","4","",,NA,"982.2","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","-12.8","0",NA,"6.2","0","-36.9","0","",,NA,"9.4","0",NA,"","2","",,NA,"954.4","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","-9.8","0",NA,"7.1","0","-34.8","0","",,NA,"5.3","0",NA,"","2","",,NA,"862.5","0.0","3010162"
"ANDREW AGDM","53.917","-112.279","AB","-12.3","4",NA,"3.8","4","-35.9","3","",,NA,"15.3","4",NA,"","2","",,NA,"817.0","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","-10.6","4",NA,"7.1","4","-30.8","0","",,NA,"6.6","4",NA,"","3","",,NA,"772.8","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","-11.3","2",NA,"6.4","2","-32.4","0","",,NA,"3.8","2",NA,"","1","",,NA,"850.1","0.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","-8.5","0",NA,"9.7","0","-32.5","0","",,NA,"15.4","0",NA,"","5","",,NA,"820.8","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","-11.5","0",NA,"5.4","0","-35.3","0","",,NA,"18.3","0",NA,"","3","",,NA,"914.0","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","-11.1","0",NA,"6.4","0","-32.5","0","",,NA,"5.2","0",NA,"","3","",,NA,"902.7","0.0","3010992"
"CAMROSE","53.050","-112.817","AB","-9.7","2","1.9","7.8","1","-30.6","1","",,NA,"7.7","2",NA,"16.0","3","",,NA,"802.7","0.0","3011240"
"CONSORT AGDM","51.937","-110.713","AB","-11.6","1",NA,"3.9","1","-30.8","0","",,NA,"2.9","1",NA,"","2","",,NA,"887.1","0.0","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","-12.0","12",NA,"6.1","12","-34.1","12","",,NA,"0.3","12",NA,"","0","",,NA,"570.7","0.0","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","-9.9","2",NA,"8.0","2","-33.9","1","",,NA,"8.4","2",NA,"","3","",,NA,"808.0","0.0","3011892"
