"Environment and Climate Change Canada"
"Monthly Values for October - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","1.6","5",NA,"22.7","5","-11.7","5","",,NA,"13.9","5",NA,"","3","",,NA,"426.6","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","2.5","0",NA,"23.3","0","-9.5","0","",,NA,"21.5","1",NA,"","3","",,NA,"480.5","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","3.7","0",NA,"23.1","0","-6.9","0","",,NA,"16.1","3",NA,"","5","",,NA,"442.1","0.0","3010162"
"ANDREW AGDM","53.917","-112.279","AB","2.4","1",NA,"21.8","1","-8.1","1","",,NA,"16.9","1",NA,"","5","",,NA,"467.8","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","3.6","5",NA,"23.5","5","-6.1","5","",,NA,"17.3","6",NA,"","3","",,NA,"373.2","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","2.2","6",NA,"17.7","6","-9.0","6","",,NA,"17.6","7",NA,"","4","",,NA,"394.8","0.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","4.2","1",NA,"24.2","1","-6.3","1","",,NA,"20.2","2",NA,"","5","",,NA,"414.6","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","2.8","0",NA,"23.7","0","-8.5","0","",,NA,"26.3","1",NA,"","5","",,NA,"472.6","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","3.5","0",NA,"23.6","0","-8.3","0","",,NA,"19.1","1",NA,"","4","",,NA,"450.3","0.0","3010992"
"CAMROSE","53.050","-112.817","AB","3.1","1","-0.9","24.6","1","-7.0","1","",,NA,"17.5","1",NA,"","5","",,NA,"445.6","0.0","3011240"
