"Environment and Climate Change Canada"
"Monthly Values for November - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","-7.3","1",NA,"6.8","1","-26.6","1","",,NA,"17.4","1",NA,"","5","",,NA,"734.3","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","-6.0","0",NA,"8.1","0","-21.7","0","",,NA,"20.4","0",NA,"","4","",,NA,"719.9","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","-4.0","0",NA,"10.0","0","-22.9","0","",,NA,"20.4","0",NA,"","5","",,NA,"658.8","0.0","3010162"
"ANDREW AGDM","53.917","-112.279","AB","-6.3","1",NA,"6.8","1","-22.3","1","",,NA,"16.9","1",NA,"","5","",,NA,"704.0","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","-4.4","1",NA,"9.1","1","-20.5","1","",,NA,"14.4","1",NA,"","5","",,NA,"650.9","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","-4.9","0",NA,"9.2","0","-22.0","0","",,NA,"14.3","0",NA,"","5","",,NA,"688.3","0.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","-1.8","0",NA,"12.2","0","-17.5","0","",,NA,"35.9","0",NA,"","11","",,NA,"592.6","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","-4.3","0",NA,"7.9","0","-22.1","0","",,NA,"24.0","0",NA,"","6","",,NA,"668.3","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","-4.7","0",NA,"8.3","0","-21.3","0","",,NA,"14.7","0",NA,"","5","",,NA,"681.5","0.0","3010992"
"CAMROSE","53.050","-112.817","AB","-3.7","0","1.4","8.5","0","-19.3","0","",,NA,"22.0","0","119.0","3.0","6","",,NA,"651.5","0.0","3011240"
"CONSORT AGDM","51.937","-110.713","AB","-4.7","0",NA,"6.4","0","-21.0","0","",,NA,"16.2","0",NA,"","5","",,NA,"681.9","0.0","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","-4.6","0",NA,"7.4","0","-22.9","0","",,NA,"19.6","0",NA,"0.0","5","",,NA,"678.7","0.0","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","-2.4","0",NA,"12.0","0","-22.7","0","",,NA,"18.5","0",NA,"","6","",,NA,"611.1","0.0","3011892"
"DELBURNE AGCM","52.183","-113.176","AB","-2.6","0",NA,"11.7","0","-19.5","0","",,NA,"20.7","0",NA,"","5","",,NA,"617.5","0.0","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","-6.7","0",NA,"7.3","0","-20.9","0","",,NA,"16.1","0",NA,"","5","",,NA,"742.0","0.0","3012073"
"EDGERTON AGCM","52.778","-110.433","AB","-6.1","3",NA,"9.2","3","-22.1","3","",,NA,"10.4","3",NA,"","4","",,NA,"650.2","0.0","3012192"
"EDMONTON INTERNATIONAL CS","53.307","-113.606","AB","-3.5","0",NA,"9.8","0","-21.0","0","",,NA,"30.4","0",NA,"","11","",,NA,"646.0","0.0","3012206"
"EDMONTON BLATCHFORD","53.573","-113.517","AB","-2.4","2",NA,"10.6","2","-16.1","2","",,NA,"15.3","2",NA,"1.0","4","",,NA,"571.0","0.0","3012209"
"EDMONTON NAMAO AWOS A","53.667","-113.467","AB","-3.3","0",NA,"8.9","0","-18.7","0","",,NA,"",,NA,"","","",,NA,"639.1","0.0","3012212"
