"Environment and Climate Change Canada"
"Monthly Values for December - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","-13.0","7",NA,"4.6","7","-29.5","7","",,NA,"17.0","7",NA,"","4","",,NA,"744.0","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","-9.9","0",NA,"4.7","0","-33.5","0","",,NA,"15.2","0",NA,"","3","",,NA,"865.6","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","-6.6","0",NA,"6.2","0","-24.1","0","",,NA,"11.1","0",NA,"","4","",,NA,"763.9","0.0","3010162"
"ANDREW AGDM","53.917","-112.279","AB","-11.4","4",NA,"3.3","4","-31.4","4","",,NA,"19.2","4",NA,"","5","",,NA,"794.6","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","-8.4","5",NA,"6.0","5","-24.0","5","",,NA,"10.2","5",NA,"","4","",,NA,"686.4","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","-7.4","0",NA,"6.6","0","-28.2","0","",,NA,"12.0","0",NA,"","5","",,NA,"786.8","0.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","-5.1","0",NA,"7.4","0","-18.1","0","",,NA,"43.7","0",NA,"","12","",,NA,"714.8","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","-8.6","0",NA,"4.5","0","-22.7","0","",,NA,"27.3","0",NA,"","6","",,NA,"825.9","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","-7.1","0",NA,"6.2","0","-26.3","0","",,NA,"12.9","0",NA,"","4","",,NA,"777.4","0.0","3010992"
"CAMROSE","53.050","-112.817","AB","-7.6","2","2.3","5.3","2","-22.0","2","",,NA,"14.4","2",NA,"14.0","3","",,NA,"743.5","0.0","3011240"
"CONSORT AGDM","51.937","-110.713","AB","-8.0","0",NA,"4.9","0","-26.5","0","",,NA,"7.5","0",NA,"","2","",,NA,"806.1","0.0","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","-8.5","0",NA,"4.1","0","-26.1","0","",,NA,"7.7","0",NA,"1.0","3","",,NA,"820.4","0.0","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","-6.9","0",NA,"6.6","0","-23.2","0","",,NA,"17.2","0",NA,"","2","",,NA,"771.1","0.0","3011892"
"DELBURNE AGCM","52.183","-113.176","AB","-6.1","0",NA,"7.4","0","-22.3","0","",,NA,"13.1","1",NA,"","2","",,NA,"746.1","0.0","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","-10.5","0",NA,"4.8","0","-34.3","0","",,NA,"19.0","0",NA,"","4","",,NA,"883.4","0.0","3012073"
"EDGERTON AGCM","52.778","-110.433","AB","-9.5","4",NA,"6.0","4","-31.4","4","",,NA,"10.0","4",NA,"","3","",,NA,"742.8","0.0","3012192"
"EDMONTON INTERNATIONAL CS","53.307","-113.606","AB","-9.0","0",NA,"5.2","0","-25.4","0","",,NA,"41.4","0",NA,"","15","",,NA,"835.9","0.0","3012206"
"EDMONTON BLATCHFORD","53.573","-113.517","AB","-6.2","1",NA,"6.3","1","-20.3","1","",,NA,"24.8","1",NA,"18.0","6","",,NA,"727.4","0.0","3012209"
"EDMONTON NAMAO AWOS A","53.667","-113.467","AB","-7.9","2",NA,"6.0","2","-23.0","2","",,NA,"",,NA,"","","",,NA,"751.0","0.0","3012212"
"EDMONTON INTL A","53.310","-113.579","AB","-8.9","0",NA,"4.9","0","-25.4","0","31.4","1",NA,"29.0","0",NA,"22.0","6","",,NA,"832.9","0.0","3012216"
"EDMONTON SOUTH CAMPUS","53.490","-113.538","AB","-6.3","0",NA,"6.1","0","-19.8","0","",,NA,"24.3","0",NA,"","6","",,NA,"754.3","0.0","3012220"
