"Environment and Climate Change Canada"
"Monthly Values for February - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","-16.3","7",NA,"2.7","5","-35.6","5","",,NA,"9.8","7",NA,"","4","",,NA,"719.9","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","-17.1","1",NA,"4.4","1","-33.3","1","",,NA,"8.3","1",NA,"","3","",,NA,"948.3","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","-15.6","1",NA,"4.9","0","-31.4","1","",,NA,"9.2","1",NA,"","3","",,NA,"908.0","0.0","3010162"
"ANDREW AGDM","53.917","-112.279","AB","-16.0","5",NA,"3.7","5","-33.7","2","",,NA,"5.5","5",NA,"","2","",,NA,"782.2","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","-13.4","10",NA,"4.9","10","-30.1","3","",,NA,"1.4","10",NA,"","0","",,NA,"565.4","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","-15.9","4",NA,"4.8","4","-32.9","2","",,NA,"6.0","4",NA,"","2","",,NA,"814.5","0.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","-12.7","1",NA,"6.0","1","-29.6","1","",,NA,"27.1","1",NA,"","7","",,NA,"828.3","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","-15.0","1",NA,"4.0","1","-30.7","1","",,NA,"11.1","1",NA,"","4","",,NA,"890.9","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","-15.9","1",NA,"4.9","0","-31.3","1","",,NA,"5.2","2",NA,"","2","",,NA,"916.5","0.0","3010992"
"CAMROSE","53.050","-112.817","AB","-15.3","1","-5.7","4.4","1","-32.3","0","",,NA,"10.2","1",NA,"24.0","2","",,NA,"899.8","0.0","3011240"
"CONSORT AGDM","51.937","-110.713","AB","-17.1","10",NA,"1.3","9","-32.4","5","",,NA,"1.3","10",NA,"","0","",,NA,"632.0","0.0","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","-13.6","17",NA,"-1.0","17","-29.0","16","",,NA,"0.3","17",NA,"4.0","0","",,NA,"347.1","0.0","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","-13.9","3",NA,"6.8","3","-34.3","2","",,NA,"17.9","3",NA,"","6","",,NA,"796.8","0.0","3011892"
"DELBURNE AGCM","52.183","-113.176","AB","-13.9","3",NA,"8.9","3","-29.5","2","",,NA,"13.1","3",NA,"","5","",,NA,"798.5","0.0","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","-17.1","6",NA,"3.7","6","-32.4","3","",,NA,"6.5","6",NA,"","2","",,NA,"772.1","0.0","3012073"
"EDGERTON AGCM","52.778","-110.433","AB","-15.8","5",NA,"4.6","5","-32.0","2","",,NA,"5.5","6",NA,"","1","",,NA,"776.7","0.0","3012192"
"EDMONTON INTERNATIONAL CS","53.307","-113.606","AB","-15.7","1",NA,"5.7","0","-40.1","1","",,NA,"34.4","2",NA,"","11","",,NA,"910.0","0.0","3012206"
"EDMONTON BLATCHFORD","53.573","-113.517","AB","-12.3","0",NA,"4.6","0","-30.7","0","",,NA,"12.1","0",NA,"25.0","2","",,NA,"848.2","0.0","3012209"
"EDMONTON NAMAO AWOS A","53.667","-113.467","AB","-13.8","2",NA,"4.1","1","-27.9","1","",,NA,"8.5","2",NA,"","5","",,NA,"827.7","0.0","3012212"
"EDMONTON INTL A","53.310","-113.579","AB","-15.4","0",NA,"5.8","0","-39.3","0","16.2","0",NA,"16.2","0",NA,"22.0","2","",,NA,"934.2","0.0","3012216"
"EDMONTON VILLENEUVE A","53.668","-113.856","AB","-12.9","5",NA,"3.4","5","-33.4","5","",,NA,"4.3","5",NA,"","1","",,NA,"711.2","0.0","3012229"
"EDMONTON STONY PLAIN","53.548","-114.108","AB","-11.8","0","-4.4","5.0","0","-27.5","0","18.8","0","120.0","15.8","0","108.0","17.0","3","",,NA,"835.2","0.0","301222F"
"ELK ISLAND NAT PARK","53.683","-112.868","AB","-14.0","1","-4.8","7.2","0","-32.0","1","",,NA,"20.5","1",NA,"39.0","7","",,NA,"864.7","0.0","3012275"
"FABYAN","52.967","-111.000","AB","-16.7","2","-5.3","19.5","1","-37.0","1","2.6","1",NA,"4.6","1",NA,"0.0","2","","",NA,"902.9","0.0","3012515"
"FERINTOSH AGCM","52.744","-112.858","AB","-16.3","6",NA,"4.2","5","-33.2","4","",,NA,"10.6","6",NA,"","3","",,NA,"753.7","0.0","3012590"
"FORESTBURG PLANT SITE","52.467","-112.120","AB","-14.7","0","-7.3","5.5","0","-35.0","0","11.4","0","123.0","11.4","0","122.0","0.0","2","","",NA,"916.7","0.0","3012652"
"FORESTBURG AGCM","52.548","-112.123","AB","-15.6","1",NA,"5.8","0","-31.9","1","",,NA,"7.6","1",NA,"","2","",,NA,"905.9","0.0","3012653"
"FORT SASKATCHEWAN","53.717","-113.183","AB","-11.1","20","-1.7","5.0","20","-26.0","16","0.0","16",NA,"0.0","16",NA,"0.0","0","","",NA,"232.5","0.0","3012710"
"GILT EDGE NORTH AGCM","53.071","-110.621","AB","-18.8","12",NA,"4.1","12","-30.8","5","",,NA,"6.8","12",NA,"","3","",,NA,"588.8","0.0","3012790"
"GLENEVIS AGCM","53.833","-114.539","AB","-11.9","1",NA,"5.7","0","-26.1","1","",,NA,"",,NA,"","","",,NA,"807.4","0.0","3012818"
"HALKIRK AGCM","52.116","-112.164","AB","-16.2","1",NA,"4.6","0","-32.8","1","",,NA,"7.0","18",NA,"","3","",,NA,"923.2","0.0","3012999"
"HEMARUKA AGCM","51.780","-111.212","AB","-17.9","1",NA,"1.7","0","-35.6","1","",,NA,"3.2","20",NA,"","1","",,NA,"969.7","0.0","3013140"
"HOLDEN AGDM","53.185","-112.246","AB","-15.9","6",NA,"3.9","4","-31.7","4","",,NA,"15.7","6",NA,"","5","",,NA,"746.2","0.0","3013340"
"HUGHENDEN AGCM","52.578","-110.784","AB","-18.6","13",NA,"4.0","10","-33.5","7","",,NA,"4.6","15",NA,"","2","",,NA,"548.5","0.0","3013362"
"KILLAM AGDM","52.848","-111.872","AB","-19.2","12",NA,"3.7","12","-34.0","9","",,NA,"18.6","13",NA,"","9","",,NA,"595.9","0.0","3013640"
"KITSCOTY AGCM","53.353","-110.416","AB","-16.7","3",NA,"2.5","3","-33.0","2","",,NA,"3.9","3",NA,"","2","",,NA,"868.7","0.0","3013660"
