"Environment and Climate Change Canada"
"Monthly Values for March - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","-8.8","4",NA,"4.4","3","-27.8","1","",,NA,"16.1","4",NA,"","4","",,NA,"722.6","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","-7.6","0",NA,"6.7","0","-25.4","0","",,NA,"14.5","0",NA,"","5","",,NA,"793.9","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","-6.7","0",NA,"9.8","0","-24.0","0","",,NA,"19.2","0",NA,"","7","",,NA,"764.5","0.0","3010162"
"ANDREW AGDM","53.917","-112.279","AB","-8.5","11",NA,"3.4","10","-25.8","6","",,NA,"9.5","11",NA,"","5","",,NA,"529.6","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","-7.2","2",NA,"5.5","1","-21.4","1","",,NA,"9.9","2",NA,"","5","",,NA,"729.5","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","-6.7","1",NA,"4.5","0","-21.5","1","",,NA,"21.1","1",NA,"","6","",,NA,"741.0","0.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","-4.5","0",NA,"10.7","0","-24.9","0","",,NA,"32.8","0",NA,"","10","",,NA,"696.5","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","-7.4","0",NA,"8.6","0","-28.4","0","",,NA,"15.8","0",NA,"","5","",,NA,"788.1","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","-6.3","0",NA,"5.7","0","-19.8","0","",,NA,"14.3","1",NA,"","4","",,NA,"753.8","0.0","3010992"
"CAMROSE","53.050","-112.817","AB","-6.7","1","-2.6","8.0","1","-27.6","1","",,NA,"25.4","1",NA,"","8","",,NA,"741.4","0.0","3011240"
