"Environment and Climate Change Canada"
"Monthly Values for April - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","-1.4","3",NA,"25.9","3","-28.6","0","",,NA,"16.8","3",NA,"","4","",,NA,"522.8","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","-0.3","1",NA,"27.0","1","-26.6","0","",,NA,"10.2","1",NA,"","2","",,NA,"532.1","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","0.9","1",NA,"27.6","1","-23.4","0","",,NA,"7.2","1",NA,"","2","",,NA,"494.5","0.0","3010162"
"ANDREW AGDM","53.917","-112.279","AB","0.0","5",NA,"26.7","5","-27.5","2","",,NA,"16.4","5",NA,"","3","",,NA,"450.9","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","0.3","6",NA,"27.0","6","-22.7","0","",,NA,"6.2","5",NA,"","2","",,NA,"425.1","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","1.0","1",NA,"26.8","1","-21.9","0","",,NA,"2.2","2",NA,"","1","",,NA,"493.1","0.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","1.3","1",NA,"26.5","1","-21.3","0","",,NA,"19.2","1",NA,"","5","",,NA,"485.3","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","0.2","1",NA,"25.8","1","-24.1","0","",,NA,"14.7","1",NA,"","3","",,NA,"515.3","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","1.4","1",NA,"27.6","1","-21.2","0","",,NA,"5.0","3",NA,"","2","",,NA,"480.9","0.0","3010992"
"CAMROSE","53.050","-112.817","AB","3.3","8","-1.2","27.0","8","-21.4","5","",,NA,"11.7","8",NA,"","1","",,NA,"322.5","0.0","3011240"
