"Environment and Climate Change Canada"
"Monthly Values for May - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","12.3","4",NA,"28.9","4","-4.9","1","",,NA,"14.6","5",NA,"","5","",,NA,"155.5","0.9","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","13.8","0",NA,"31.6","0","-2.8","0","",,NA,"21.1","1",NA,"","5","",,NA,"135.7","4.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","14.1","0",NA,"31.6","0","0.7","0","",,NA,"28.0","1",NA,"","6","",,NA,"127.6","7.1","3010162"
"ANDREW AGDM","53.917","-112.279","AB","14.2","2",NA,"29.5","1","-2.2","1","",,NA,"9.3","2",NA,"","2","",,NA,"117.6","7.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","14.5","13",NA,"31.5","12","1.9","2","",,NA,"13.0","12",NA,"","3","",,NA,"69.6","7.2","3010650"
"BODO AGDM","52.124","-110.101","AB","13.6","2",NA,"31.3","2","-1.0","2","",,NA,"34.0","2",NA,"","5","",,NA,"135.9","7.8","3010730"
"BRETON PLOTS","53.089","-114.441","AB","13.3","0",NA,"27.6","0","1.0","0","",,NA,"37.9","1",NA,"","5","",,NA,"149.6","4.6","3010816"
"BUSBY AGCM","53.931","-113.922","AB","13.9","1",NA,"28.8","1","-1.3","1","",,NA,"15.9","2",NA,"","5","",,NA,"127.8","4.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","14.1","0",NA,"31.5","0","-2.0","0","",,NA,"36.7","1",NA,"","5","",,NA,"130.9","9.0","3010992"
"CAMROSE","53.050","-112.817","AB","13.7","1","3.2","28.5","1","0.1","1","",,NA,"41.9","1",NA,"","4","",,NA,"131.6","3.4","3011240"
"CONSORT AGDM","51.937","-110.713","AB","14.0","2",NA,"31.3","2","-1.1","0","",,NA,"27.9","2",NA,"","4","",,NA,"124.0","7.5","3011815"
