"Environment and Climate Change Canada"
"Monthly Values for July - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","15.6","5",NA,"29.3","5","2.3","4","",,NA,"39.4","5",NA,"","7","",,NA,"71.0","7.3","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","17.3","0",NA,"31.5","0","6.4","0","",,NA,"70.1","0",NA,"","7","",,NA,"47.5","24.4","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","17.6","0",NA,"33.8","0","4.7","0","",,NA,"52.9","0",NA,"","9","",,NA,"46.8","34.4","3010162"
"ANDREW AGDM","53.917","-112.279","AB","16.4","1",NA,"30.6","1","5.2","0","",,NA,"71.7","1",NA,"","10","",,NA,"64.4","16.2","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","17.5","5",NA,"31.6","4","5.4","3","",,NA,"63.5","7",NA,"","6","",,NA,"39.2","25.2","3010650"
"BODO AGDM","52.124","-110.101","AB","17.2","10",NA,"33.4","5","5.7","9","",,NA,"16.5","10",NA,"","4","",,NA,"35.1","18.2","3010730"
"BRETON PLOTS","53.089","-114.441","AB","16.1","0",NA,"29.8","0","4.6","0","",,NA,"70.8","0",NA,"","11","",,NA,"69.4","12.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","16.6","0",NA,"31.3","0","4.9","0","",,NA,"93.0","0",NA,"","13","",,NA,"63.0","19.7","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","17.9","0",NA,"33.6","0","6.1","0","",,NA,"83.7","0",NA,"","10","",,NA,"39.8","36.9","3010992"
"CAMROSE","53.050","-112.817","AB","17.1","0","0.3","31.6","0","4.1","0","",,NA,"70.8","0","82.0","","9","",,NA,"52.4","23.8","3011240"
"CONSORT AGDM","51.937","-110.713","AB","17.6","0",NA,"33.5","0","5.7","0","",,NA,"28.0","0",NA,"","8","",,NA,"46.9","33.8","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","17.1","0",NA,"34.3","0","3.5","0","",,NA,"61.4","0",NA,"","11","",,NA,"57.9","28.5","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","16.3","0",NA,"30.2","0","3.1","0","",,NA,"84.9","0",NA,"","14","",,NA,"63.5","11.4","3011892"
