"Environment and Climate Change Canada"
"Monthly Values for August - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","13.7","6",NA,"29.7","6","-1.4","6","",,NA,"36.8","6",NA,"","6","",,NA,"109.8","3.3","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","16.0","0",NA,"36.0","0","-0.4","0","",,NA,"25.1","0",NA,"","5","",,NA,"84.1","23.2","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","17.0","0",NA,"38.9","0","0.7","0","",,NA,"14.5","0",NA,"","5","",,NA,"66.8","34.7","3010162"
"ANDREW AGDM","53.917","-112.279","AB","14.6","4",NA,"30.4","4","2.9","4","",,NA,"37.3","4",NA,"","6","",,NA,"101.2","9.7","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","16.4","9",NA,"36.0","9","1.5","9","",,NA,"20.7","8",NA,"","3","",,NA,"57.5","23.1","3010650"
"BODO AGDM","52.124","-110.101","AB","16.8","4",NA,"37.0","4","1.2","4","",,NA,"26.6","4",NA,"","5","",,NA,"66.1","35.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","15.1","0",NA,"34.3","0","0.1","0","",,NA,"47.0","0",NA,"","9","",,NA,"107.9","18.4","3010816"
"BUSBY AGCM","53.931","-113.922","AB","14.7","0",NA,"33.8","0","-1.5","0","",,NA,"45.3","0",NA,"","9","",,NA,"111.1","10.1","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","16.8","0",NA,"36.8","0","1.4","0","",,NA,"18.9","1",NA,"","4","",,NA,"68.5","32.7","3010992"
"CALMAR","53.290","-113.863","AB","",,"","28.0","30","7.5","30","0.0","30",NA,"0.0","30",NA,"","0","","",NA,"","","3011120"
"CAMROSE","53.050","-112.817","AB","15.8","0","0.0","35.3","0","-0.1","0","",,NA,"30.4","0","59.0","","6","",,NA,"85.2","18.0","3011240"
"CONSORT AGDM","51.937","-110.713","AB","15.6","11",NA,"31.7","11","-0.2","11","",,NA,"10.8","11",NA,"","2","",,NA,"62.6","15.3","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","16.3","0",NA,"37.9","0","-2.0","0","",,NA,"6.4","0",NA,"","2","",,NA,"80.8","29.0","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","15.2","0",NA,"34.2","0","-2.0","0","",,NA,"35.4","0",NA,"","9","",,NA,"104.4","19.1","3011892"
"DELBURNE AGCM","52.183","-113.176","AB","16.8","0",NA,"37.8","0","1.7","0","",,NA,"24.9","4",NA,"","6","",,NA,"72.2","33.7","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","15.7","0",NA,"32.4","0","1.8","0","",,NA,"44.5","0",NA,"","6","",,NA,"92.2","19.9","3012073"
"EDGERTON AGCM","52.778","-110.433","AB","15.9","7",NA,"35.6","7","0.1","7","",,NA,"15.5","7",NA,"","4","",,NA,"69.9","18.8","3012192"
"EDMONTON INTERNATIONAL CS","53.307","-113.606","AB","14.7","0",NA,"32.7","0","-0.7","0","",,NA,"67.6","0",NA,"","12","",,NA,"110.5","8.5","3012206"
"EDMONTON BLATCHFORD","53.573","-113.517","AB","16.9","0",NA,"34.5","0","3.0","0","",,NA,"41.4","0",NA,"","9","",,NA,"65.9","32.2","3012209"
