"Environment and Climate Change Canada"
"Monthly Values for September - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","3.9","4",NA,"18.9","4","-8.6","4","",,NA,"39.8","4",NA,"","8","",,NA,"365.4","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","6.3","0",NA,"26.6","0","-5.6","0","",,NA,"66.3","0",NA,"","10","",,NA,"352.2","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","6.8","0",NA,"28.9","0","-4.4","0","",,NA,"63.3","1",NA,"","11","",,NA,"336.2","1.5","3010162"
"ANDREW AGDM","53.917","-112.279","AB","5.6","1",NA,"25.1","1","-6.3","1","",,NA,"49.5","2",NA,"","9","",,NA,"359.5","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","5.7","9",NA,"27.7","9","-2.9","9","",,NA,"40.3","9",NA,"","6","",,NA,"260.3","1.9","3010650"
"BODO AGDM","52.124","-110.101","AB","7.4","1",NA,"28.0","1","-4.2","1","",,NA,"46.5","1",NA,"","10","",,NA,"309.4","1.1","3010730"
"BRETON PLOTS","53.089","-114.441","AB","5.3","0",NA,"24.0","0","-6.9","0","",,NA,"97.2","0",NA,"","15","",,NA,"379.7","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","5.4","0",NA,"24.7","0","-5.3","0","",,NA,"56.5","0",NA,"","11","",,NA,"378.2","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","7.2","0",NA,"27.2","0","-4.5","0","",,NA,"60.9","0",NA,"","10","",,NA,"325.7","1.1","3010992"
"CALMAR","53.290","-113.863","AB","",,"","4.0","29","-7.0","29","0.0","29",NA,"0.0","29",NA,"0.0","0","","",NA,"","","3011120"
"CAMROSE","53.050","-112.817","AB","5.8","0","-4.6","25.9","0","-4.2","0","",,NA,"51.7","0","130.0","","10","",,NA,"366.4","0.0","3011240"
"CONSORT AGDM","51.937","-110.713","AB","7.3","2",NA,"28.2","2","-2.5","2","",,NA,"54.9","2",NA,"","12","",,NA,"301.9","1.1","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","6.5","0",NA,"27.9","0","-4.0","0","",,NA,"53.3","0",NA,"","9","",,NA,"347.0","0.5","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","5.2","0",NA,"25.2","0","-7.5","0","",,NA,"81.5","0",NA,"","13","",,NA,"385.0","0.0","3011892"
"DELBURNE AGCM","52.183","-113.176","AB","6.3","0",NA,"27.3","0","-6.0","0","",,NA,"51.9","2",NA,"","12","",,NA,"352.9","0.6","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","5.8","0",NA,"22.1","0","-6.3","0","",,NA,"62.1","1",NA,"","7","",,NA,"365.5","0.0","3012073"
"EDGERTON AGCM","52.778","-110.433","AB","6.7","2",NA,"25.4","2","-6.8","2","",,NA,"44.4","2",NA,"","8","",,NA,"316.1","0.0","3012192"
"EDMONTON INTERNATIONAL CS","53.307","-113.606","AB","5.5","0",NA,"25.4","0","-5.2","0","",,NA,"72.1","0",NA,"","10","",,NA,"375.5","0.0","3012206"
"EDMONTON BLATCHFORD","53.573","-113.517","AB","6.9","0",NA,"26.1","0","-1.8","0","",,NA,"58.3","0",NA,"0.0","10","",,NA,"332.4","0.0","3012209"
"EDMONTON NAMAO AWOS A","53.667","-113.467","AB","3.5","25",NA,"13.0","25","-3.6","24","",,NA,"",,NA,"","","",,NA,"72.3","0.0","3012212"
"EDMONTON INTL A","53.310","-113.579","AB","5.6","0",NA,"25.4","0","-5.5","0","38.4","0",NA,"79.0","0",NA,"","12","",,NA,"372.7","0.0","3012216"
"EDMONTON SOUTH CAMPUS","53.490","-113.538","AB","6.9","0",NA,"26.5","0","-1.8","0","",,NA,"61.2","0",NA,"","11","",,NA,"334.1","1.2","3012220"
"EDMONTON VILLENEUVE A","53.668","-113.856","AB","6.1","12",NA,"24.3","12","-3.8","12","",,NA,"48.5","12",NA,"","9","",,NA,"213.8","0.0","3012229"
"EDMONTON STONY PLAIN","53.548","-114.108","AB","6.6","0","-4.4","24.0","0","-3.0","0","32.8","0","######","54.8","0","124.0","0.0","16","","",NA,"341.6","0.0","301222F"
