"Environment and Climate Change Canada"
"Monthly Values for January - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","-13.5","2",NA,"4.8","2","-33.5","1","",,NA,"27.5","3",NA,"","13","",,NA,"913.1","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","-11.4","0",NA,"6.4","0","-37.9","0","",,NA,"18.0","0",NA,"","4","",,NA,"910.7","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","-9.5","4",NA,"6.1","2","-28.9","3","",,NA,"5.2","5",NA,"","1","",,NA,"743.8","0.0","3010162"
"ANDREW","54.017","-112.233","AB","-11.3","2","2.1","7.0","2","-33.0","2","20.0","2",NA,"20.0","2",NA,"","5","","",NA,"851.0","0.0","3010234"
"ANDREW AGDM","53.917","-112.279","AB","-12.1","3",NA,"5.7","2","-35.4","1","",,NA,"16.6","4",NA,"","4","",,NA,"843.0","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","-11.4","6",NA,"6.8","3","-31.1","5","",,NA,"2.7","7",NA,"","0","",,NA,"734.0","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","-9.7","1",NA,"6.4","1","-32.2","0","",,NA,"10.1","1",NA,"","3","",,NA,"832.1","0.0","3010730"
"BRETON","53.167","-114.483","AB","-6.1","24",NA,"18.0","17","-26.0","17","0.0","17",NA,"0.0","17",NA,"4.0","0","","",NA,"168.5","0.0","3010815"
"BRETON PLOTS","53.089","-114.441","AB","-7.6","0",NA,"13.5","0","-27.3","0","",,NA,"7.2","0",NA,"","2","",,NA,"794.5","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","-10.9","0",NA,"7.5","0","-27.9","0","",,NA,"21.1","0",NA,"","9","",,NA,"896.0","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","-9.2","2",NA,"7.6","2","-33.1","0","",,NA,"12.5","2",NA,"","3","",,NA,"789.4","0.0","3010992"
"CALMAR","53.290","-113.863","AB","",,"","0.0","29","-14.5","29","0.0","29",NA,"0.0","29",NA,"","0","","",NA,"","","3011120"
