"Environment and Climate Change Canada"
"Monthly Values for October - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","-0.2","8",NA,"14.0","6","-9.9","4","",,NA,"49.6","9",NA,"","7","",,NA,"418.4","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","1.8","0",NA,"17.3","0","-8.4","0","",,NA,"42.2","0",NA,"","4","",,NA,"503.5","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","2.2","3",NA,"16.5","2","-8.8","1","",,NA,"21.3","3",NA,"","4","",,NA,"443.1","0.0","3010162"
"ANDREW","54.017","-112.233","AB","2.3","6","-1.3","16.0","6","-7.0","6","13.0","6",NA,"25.1","6",NA,"","6","","",NA,"391.5","0.0","3010234"
"ANDREW AGDM","53.917","-112.279","AB","1.2","4",NA,"13.7","4","-7.8","0","",,NA,"49.4","4",NA,"","7","",,NA,"453.9","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","2.0","5",NA,"16.0","5","-6.7","0","",,NA,"27.3","5",NA,"","4","",,NA,"416.7","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","1.9","7",NA,"14.7","5","-8.6","4","",,NA,"16.7","8",NA,"","6","",,NA,"387.6","0.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","1.7","0",NA,"14.1","0","-8.5","0","",,NA,"44.4","1",NA,"","5","",,NA,"505.8","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","1.0","0",NA,"12.9","0","-7.2","0","",,NA,"55.0","0",NA,"","10","",,NA,"526.5","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","2.4","1",NA,"15.1","1","-8.5","0","",,NA,"22.3","2",NA,"","5","",,NA,"468.9","0.0","3010992"
