"Environment and Climate Change Canada"
"Monthly Values for November - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","-9.8","5",NA,"5.0","4","-23.4","3","",,NA,"9.9","5",NA,"","4","",,NA,"694.3","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","-9.9","0",NA,"5.4","0","-24.6","0","",,NA,"12.1","0",NA,"","6","",,NA,"837.3","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","-7.7","0",NA,"7.4","0","-24.2","0","",,NA,"13.8","0",NA,"","4","",,NA,"771.1","0.0","3010162"
"ANDREW","54.017","-112.233","AB","-10.6","12","-4.6","5.0","12","-20.0","12","19.0","12",NA,"19.0","12",NA,"","4","","",NA,"514.5","0.0","3010234"
"ANDREW AGDM","53.917","-112.279","AB","-10.0","1",NA,"5.3","1","-22.8","1","",,NA,"14.4","1",NA,"","4","",,NA,"811.1","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","-7.8","1",NA,"8.3","1","-23.1","1","",,NA,"10.5","1",NA,"","4","",,NA,"747.7","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","-8.2","13",NA,"5.9","7","-21.6","13","",,NA,"15.7","14",NA,"","5","",,NA,"446.1","0.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","-6.6","0",NA,"9.6","0","-23.7","0","",,NA,"25.5","0",NA,"","8","",,NA,"738.3","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","-9.2","0",NA,"5.6","0","-24.7","0","",,NA,"22.9","0",NA,"","7","",,NA,"817.2","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","-8.4","0",NA,"8.1","0","-24.5","0","",,NA,"24.2","0",NA,"","7","",,NA,"791.9","0.0","3010992"
