"Environment and Climate Change Canada"
"Monthly Values for February - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","-6.8","3",NA,"8.1","3","-22.4","1","",,NA,"7.4","3",NA,"","3","",,NA,"644.2","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","-4.3","0",NA,"8.9","0","-19.4","0","",,NA,"6.4","0",NA,"","2","",,NA,"647.4","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","-2.3","2",NA,"12.2","2","-16.0","1","",,NA,"7.6","3",NA,"","4","",,NA,"547.2","0.0","3010162"
"ANDREW","54.017","-112.233","AB","-5.6","8","5.0","7.0","8","-19.0","8","16.0","8",NA,"18.0","8",NA,"","5","","",NA,"496.5","0.0","3010234"
"ANDREW AGDM","53.917","-112.279","AB","-5.8","1",NA,"7.2","1","-20.8","1","",,NA,"6.4","3",NA,"","3","",,NA,"667.4","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","-5.2","18",NA,"10.4","13","-16.6","17","",,NA,"1.2","21",NA,"","1","",,NA,"255.2","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","-3.7","6",NA,"11.7","6","-17.8","3","",,NA,"11.2","6",NA,"","3","",,NA,"498.5","0.0","3010730"
"BRETON","53.167","-114.483","AB","-5.0","28",NA,"6.0","26","-17.0","25","0.0","26",NA,"0.0","26",NA,"","0","","",NA,"23.0","0.0","3010815"
"BRETON PLOTS","53.089","-114.441","AB","-1.5","0",NA,"15.6","0","-14.3","0","",,NA,"14.3","0",NA,"","4","",,NA,"564.9","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","-4.0","0",NA,"11.8","0","-18.0","0","",,NA,"21.5","0",NA,"","9","",,NA,"638.1","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","-3.4","2",NA,"13.2","2","-18.0","1","",,NA,"14.6","3",NA,"","3","",,NA,"578.4","0.0","3010992"
"CAMROSE","53.050","-112.817","AB","-3.1","0","6.6","13.4","0","-18.1","0","",,NA,"7.2","0","53.0","5.0","2","",,NA,"611.1","0.0","3011240"
"CAMROSE 2","52.950","-112.800","AB","-2.4","23",NA,"13.0","15","-15.5","15","2.8","12",NA,"2.8","12",NA,"0.0","1","","",NA,"122.6","0.0","3011241"
"CARNWOOD","53.234","-114.654","AB","-1.8","0",NA,"13.0","0","-16.0","0","16.0","0",NA,"16.0","0",NA,"15.0","3","","",NA,"573.5","0.0","3011350"
"CONSORT AGDM","51.937","-110.713","AB","-3.7","5",NA,"9.0","5","-17.4","3","",,NA,"12.4","6",NA,"","2","",,NA,"519.8","0.0","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","-4.5","0",NA,"6.7","0","-16.9","0","",,NA,"8.3","0",NA,"1.0","3","",,NA,"651.3","0.0","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","-3.1","3",NA,"12.3","3","-17.7","1","",,NA,"9.6","3",NA,"","2","",,NA,"547.7","0.0","3011892"
"DAKOTA WEST","52.750","-113.950","AB","-1.9","6","5.7","13.0","6","-15.0","6","11.2","6",NA,"11.2","6",NA,"5.0","3","","",NA,"458.3","0.0","3011953"
"DELBURNE AGCM","52.183","-113.176","AB","-2.1","1",NA,"11.5","1","-14.4","1","",,NA,"7.8","1",NA,"","3","",,NA,"562.3","0.0","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","-6.0","7",NA,"7.2","5","-22.6","4","",,NA,"12.4","9",NA,"","4","",,NA,"527.9","0.0","3012073"
