"Environment and Climate Change Canada"
"Monthly Values for March - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","-9.6","8",NA,"10.2","2","-31.3","7","",,NA,"5.7","8",NA,"","2","",,NA,"634.2","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","-6.6","1",NA,"12.0","0","-27.3","1","",,NA,"25.9","1",NA,"","4","",,NA,"736.5","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","-4.2","1",NA,"14.7","0","-25.0","1","",,NA,"21.8","1",NA,"","7","",,NA,"665.4","0.0","3010162"
"ANDREW","54.017","-112.233","AB","-5.7","6","-0.7","9.0","6","-26.0","6","17.0","6",NA,"17.0","6",NA,"","5","","",NA,"592.0","0.0","3010234"
"ANDREW AGDM","53.917","-112.279","AB","-7.2","0",NA,"9.9","0","-29.4","0","",,NA,"16.3","2",NA,"","3","",,NA,"782.4","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","-4.8","2",NA,"13.3","2","-24.7","0","",,NA,"24.1","2",NA,"","3","",,NA,"660.0","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","-4.2","0",NA,"16.0","0","-24.4","0","",,NA,"11.6","1",NA,"","4","",,NA,"687.6","0.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","-4.2","1",NA,"12.5","0","-30.2","1","",,NA,"19.2","1",NA,"","8","",,NA,"666.3","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","-6.6","1",NA,"11.5","0","-27.2","1","",,NA,"12.8","1",NA,"","2","",,NA,"737.0","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","-4.3","1",NA,"15.7","0","-25.7","1","",,NA,"22.4","1",NA,"","6","",,NA,"668.9","0.0","3010992"
"CAMROSE","53.050","-112.817","AB","-6.1","0","-2.0","11.8","0","-30.7","0","",,NA,"27.1","0","120.0","10.0","13","",,NA,"747.8","0.0","3011240"
"CONSORT AGDM","51.937","-110.713","AB","-14.2","21",NA,"11.9","14","-23.8","19","",,NA,"9.5","21",NA,"","4","",,NA,"321.5","0.0","3011815"
