"Environment and Climate Change Canada"
"Monthly Values for April - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","1.8","12",NA,"15.3","5","-10.5","8","",,NA,"12.4","12",NA,"","5","",,NA,"291.7","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","2.8","0",NA,"18.3","0","-6.7","0","",,NA,"56.9","0",NA,"","12","",,NA,"455.5","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","3.4","0",NA,"19.9","0","-7.1","0","",,NA,"39.1","1",NA,"","10","",,NA,"438.4","0.0","3010162"
"ANDREW","54.017","-112.233","AB","2.4","7","-2.3","13.0","7","-10.0","7","22.0","7",NA,"37.2","7",NA,"","7","","",NA,"359.0","0.0","3010234"
"ANDREW AGDM","53.917","-112.279","AB","2.2","3",NA,"16.0","1","-10.6","2","",,NA,"48.6","3",NA,"","12","",,NA,"427.4","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","4.4","12",NA,"18.7","6","-3.6","10","",,NA,"9.6","13",NA,"","3","",,NA,"244.4","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","3.3","7",NA,"21.3","6","-8.4","5","",,NA,"24.4","7",NA,"","7","",,NA,"339.0","0.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","2.8","0",NA,"15.1","0","-10.9","0","",,NA,"56.5","0",NA,"","13","",,NA,"454.8","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","2.4","0",NA,"14.3","0","-9.4","0","",,NA,"52.2","0",NA,"","10","",,NA,"466.6","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","3.3","0",NA,"20.8","0","-7.6","0","",,NA,"44.4","0",NA,"","11","",,NA,"440.1","0.0","3010992"
