"Environment and Climate Change Canada"
"Monthly Values for May - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","9.9","4",NA,"29.0","3","-7.4","3","",,NA,"72.2","5",NA,"","10","",,NA,"219.9","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","11.5","0",NA,"28.7","0","-5.0","0","",,NA,"63.0","1",NA,"","8","",,NA,"201.9","0.9","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","11.0","5",NA,"29.1","3","-5.2","4","",,NA,"93.1","6",NA,"","6","",,NA,"182.4","0.0","3010162"
"ANDREW","54.017","-112.233","AB","12.9","3","1.8","32.0","3","-2.0","3","0.0","3",NA,"90.2","3",NA,"","11","","",NA,"147.0","4.0","3010234"
"ANDREW AGDM","53.917","-112.279","AB","11.5","2",NA,"28.6","2","-3.6","0","",,NA,"127.1","2",NA,"","11","",,NA,"189.0","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","12.3","5",NA,"29.2","4","-2.0","3","",,NA,"110.7","6",NA,"","6","",,NA,"152.6","3.7","3010650"
"BODO AGDM","52.124","-110.101","AB","12.0","3",NA,"28.9","3","-6.1","0","",,NA,"69.5","3",NA,"","8","",,NA,"169.8","2.3","3010730"
"BRETON PLOTS","53.089","-114.441","AB","10.1","0",NA,"27.7","0","-4.5","0","",,NA,"97.5","1",NA,"","8","",,NA,"245.3","0.1","3010816"
"BUSBY AGCM","53.931","-113.922","AB","10.8","0",NA,"28.9","0","-5.2","0","",,NA,"93.2","1",NA,"","11","",,NA,"225.2","2.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","11.8","2",NA,"29.1","1","-8.6","1","",,NA,"103.0","3",NA,"","7","",,NA,"182.8","2.0","3010992"
"CAMROSE","53.050","-112.817","AB","11.0","0","0.5","29.7","0","-6.3","0","",,NA,"102.4","0","248.0","0.0","11","",,NA,"219.9","2.1","3011240"
"CAMROSE 2","52.950","-112.800","AB","9.3","18",NA,"30.0","11","-5.0","10","0.0","3",NA,"87.8","3",NA,"0.0","7","","",NA,"112.6","0.0","3011241"
"CARNWOOD","53.234","-114.654","AB","9.7","1",NA,"28.5","1","-6.5","1","5.0","1",NA,"112.0","1",NA,"0.0","10","","",NA,"249.0","0.0","3011350"
"CONSORT AGDM","51.937","-110.713","AB","11.5","6",NA,"28.0","6","-4.6","1","",,NA,"73.9","7",NA,"","14","",,NA,"163.0","0.7","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","10.6","0",NA,"28.4","0","-6.8","0","",,NA,"89.0","0",NA,"","6","",,NA,"228.8","0.0","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","10.7","9",NA,"28.6","9","-6.8","4","",,NA,"37.5","9",NA,"","5","",,NA,"161.4","1.0","3011892"
"DELBURNE AGCM","52.183","-113.176","AB","10.6","3",NA,"29.5","2","-3.1","1","",,NA,"85.8","13",NA,"","9","",,NA,"208.7","2.1","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","13.0","5",NA,"29.2","4","-3.3","1","",,NA,"43.3","6",NA,"","5","",,NA,"133.1","2.7","3012073"
"DONALDA SOUTH","52.517","-112.351","AB","11.2","0",NA,"31.0","0","-9.0","0","0.0","0",NA,"108.3","0",NA,"0.0","9","","",NA,"210.9","0.8","3012095"
"EDGERTON AGCM","52.778","-110.433","AB","12.8","7",NA,"28.7","5","-3.9","3","",,NA,"30.4","7",NA,"","6","",,NA,"125.3","0.0","3012192"
"EDMONTON INTERNATIONAL CS","53.307","-113.606","AB","10.6","0",NA,"29.7","0","-7.5","0","",,NA,"77.1","2",NA,"","13","",,NA,"231.7","1.4","3012206"
"EDMONTON BLATCHFORD","53.573","-113.517","AB","12.9","0",NA,"30.0","0","-0.3","0","",,NA,"105.9","0",NA,"","10","",,NA,"166.6","7.7","3012209"
"EDMONTON NAMAO AWOS A","53.667","-113.467","AB","11.6","2",NA,"30.0","2","-3.6","0","",,NA,"79.0","5",NA,"","10","",,NA,"191.6","4.8","3012212"
"EDMONTON INTL A","53.310","-113.579","AB","10.7","0",NA,"29.8","0","-6.9","0","0.0","1",NA,"106.8","2",NA,"","9","",,NA,"227.7","1.7","3012216"
"EDMONTON VILLENEUVE A","53.668","-113.856","AB","11.2","1",NA,"29.6","1","-4.2","1","",,NA,"101.4","1",NA,"","9","",,NA,"207.6","4.4","3012229"
"EDMONTON STONY PLAIN","53.548","-114.108","AB","12.0","0","1.2","29.4","0","-0.6","0","0.0","0","0.0","123.4","0","234.0","0.0","10","",,NA,"191.2","5.4","301222F"
"ELK ISLAND NAT PARK","53.683","-112.868","AB","11.5","0","0.9","29.6","0","-2.8","0","",,NA,"125.8","0","255.0","0.0","10","",,NA,"205.7","3.5","3012275"
"FABYAN","52.967","-111.000","AB","11.1","0","0.9","28.0","0","-4.5","0","0.0","0","0.0","108.2","0","244.0","0.0","8","","",NA,"214.7","0.3","3012515"
"FERINTOSH AGCM","52.744","-112.858","AB","10.6","6",NA,"29.3","4","-5.8","4","",,NA,"99.9","6",NA,"","8","",,NA,"187.7","1.8","3012590"
"FORESTBURG PLANT SITE","52.467","-112.120","AB","12.1","0","0.4","29.0","0","-3.0","0","0.0","0","0.0","107.4","0","255.0","0.0","10","","",NA,"184.9","2.0","3012652"
"FORESTBURG AGCM","52.548","-112.123","AB","11.7","2",NA,"29.8","2","-4.1","0","",,NA,"101.1","2",NA,"","10","",,NA,"183.6","1.5","3012653"
"FORT SASKATCHEWAN","53.717","-113.183","AB","12.7","18","1.5","26.5","18","-2.0","18","0.0","19",NA,"71.2","19",NA,"","9","","",NA,"69.7","0.5","3012710"
"GILT EDGE NORTH AGCM","53.071","-110.621","AB","13.2","7",NA,"28.4","7","-3.5","1","",,NA,"50.2","9",NA,"","5","",,NA,"118.9","3.3","3012790"
"GLENEVIS AGCM","53.833","-114.539","AB","11.6","5",NA,"29.4","3","-3.1","2","",,NA,"",,NA,"","","",,NA,"169.9","3.3","3012818"
"HALKIRK AGCM","52.116","-112.164","AB","10.8","0",NA,"28.7","0","-6.2","0","",,NA,"91.6","14",NA,"","6","",,NA,"224.0","0.0","3012999"
"HEMARUKA AGCM","51.780","-111.212","AB","10.8","4",NA,"28.6","3","-6.1","1","",,NA,"56.7","4",NA,"","5","",,NA,"193.3","0.0","3013140"
"HOLDEN AGDM","53.185","-112.246","AB","11.3","5",NA,"29.0","3","-5.0","2","",,NA,"104.0","6",NA,"","12","",,NA,"173.5","0.1","3013340"
"HUGHENDEN AGCM","52.578","-110.784","AB","11.8","9",NA,"28.5","6","-3.0","4","",,NA,"32.1","9",NA,"","5","",,NA,"136.2","0.0","3013362"
"KILLAM AGDM","52.848","-111.872","AB","10.8","5",NA,"29.5","4","-5.3","2","",,NA,"121.4","5",NA,"","12","",,NA,"187.5","0.0","3013640"
"KESSLER AGCM","52.290","-111.113","AB","12.1","7",NA,"29.3","6","-5.8","2","",,NA,"72.8","7",NA,"","8","",,NA,"141.9","0.7","3013644"
"KITSCOTY AGCM","53.353","-110.416","AB","12.8","7",NA,"28.5","4","-3.0","4","",,NA,"25.0","7",NA,"","3","",,NA,"131.2","5.6","3013660"
"LEGAL AGCM","54.003","-113.474","AB","12.0","4",NA,"30.0","3","-1.8","2","",,NA,"88.8","5",NA,"","9","",,NA,"167.7","6.8","3013790"
"LINDBERGH AGDM","53.943","-110.579","AB","12.0","7",NA,"28.4","6","-6.1","4","",,NA,"37.2","8",NA,"","2","",,NA,"144.7","1.1","3013921"
"LLOYDMINSTER","53.309","-110.073","AB","12.6","1",NA,"29.0","1","-2.9","1","",,NA,"67.0","1",NA,"","6","",,NA,"164.9","2.2","3013959"
"LLOYDMINSTER A","53.309","-110.073","AB","13.3","9","3.2","29.0","9","-1.0","9","0.0","9",NA,"34.6","9",NA,"0.0","4","","",NA,"105.2","2.3","3013961"
"HOLDEN SOUTH","53.083","-112.267","AB","",,NA,"",,"",,"0.0","9",NA,"129.2","9",NA,"0.0","11","","",NA,"","","3013C44"
"MANNVILLE AGCM","53.456","-111.255","AB","12.2","0",NA,"29.3","0","-2.5","0","",,NA,"48.9","1",NA,"","8","",,NA,"183.3","4.4","3014195"
"MONITOR","52.017","-110.550","AB","",,NA,"",,"",,"0.0","0","0.0","91.4","0","247.0","0.0","8","","",NA,"","","3014600"
"MUNDARE AGDM","53.567","-112.300","AB","11.1","10",NA,"28.4","6","-3.4","5","",,NA,"73.5","10",NA,"0.0","7","",,NA,"144.3","0.0","3014665"
"MYRNAM AGCM","53.720","-111.114","AB","11.1","7",NA,"29.0","5","-7.4","5","",,NA,"63.1","6",NA,"","7","",,NA,"168.6","2.6","3014690"
"NEW SAREPTA AGCM","53.262","-113.165","AB","11.4","2",NA,"29.3","1","-5.1","1","",,NA,"97.9","2",NA,"","11","",,NA,"194.1","2.0","3014795"
"OLIVER AGDM","53.650","-113.350","AB","10.8","7",NA,"29.8","6","-6.8","2","",,NA,"",,NA,"","","",,NA,"172.8","1.1","3014921"
"RADWAY AGCM","53.995","-112.879","AB","11.5","0",NA,"31.0","0","-6.4","0","",,NA,"",,NA,"","","",,NA,"202.7","1.5","3015346"
"RANFURLY AUTO","53.425","-111.726","AB","12.0","0",NA,"30.3","0","-4.2","0","",,NA,"96.3","0",NA,"","8","",,NA,"188.6","2.8","3015401"
"RIBSTONE SOUTH AGCM","52.587","-110.343","AB","12.0","9",NA,"28.4","8","-6.4","1","",,NA,"63.7","9",NA,"","5","",,NA,"133.1","0.7","3015480"
"RIVERCOURSE AGCM","53.019","-110.102","AB","12.4","3",NA,"29.3","1","-3.3","2","",,NA,"39.9","3",NA,"","6","",,NA,"159.0","1.6","3015501"
"ROCKY MTN HOUSE (AUT)","52.421","-114.912","AB","7.8","5",NA,"25.1","5","-7.1","5","",,NA,"72.2","5",NA,"","9","",,NA,"265.5","0.0","3015523"
"ROSALIND AGCM","52.780","-112.428","AB","11.5","0",NA,"30.0","0","-5.5","0","",,NA,"99.4","1",NA,"","11","",,NA,"204.2","2.0","3015600"
"ST. LINA AGCM","54.282","-111.453","AB","12.3","5",NA,"29.8","5","-4.0","1","",,NA,"55.0","6",NA,"","9","",,NA,"153.8","4.7","3015673"
"ST. PAUL AGCM","54.011","-111.272","AB","11.8","6",NA,"28.7","5","-3.4","4","",,NA,"22.4","6",NA,"","5","",,NA,"155.1","1.2","3015676"
