"Environment and Climate Change Canada"
"Monthly Values for June - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","13.6","1",NA,"26.3","1","0.6","0","",,NA,"76.1","1",NA,"","13","",,NA,"128.9","2.4","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","14.9","0",NA,"28.1","0","4.7","0","",,NA,"85.3","0",NA,"","12","",,NA,"95.8","3.2","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","15.1","0",NA,"31.2","0","2.0","0","",,NA,"51.8","0",NA,"","9","",,NA,"93.3","7.3","3010162"
"ANDREW","54.017","-112.233","AB","16.3","3","1.3","26.0","3","5.0","3","0.0","3",NA,"137.6","3",NA,"","13","","",NA,"52.5","6.3","3010234"
"ANDREW AGDM","53.917","-112.279","AB","14.8","3",NA,"26.1","3","5.1","0","",,NA,"91.1","3",NA,"","10","",,NA,"89.2","1.8","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","15.6","4",NA,"28.4","3","3.4","2","",,NA,"35.5","7",NA,"","5","",,NA,"70.4","7.7","3010650"
"BODO AGDM","52.124","-110.101","AB","15.2","12",NA,"27.5","8","4.7","6","",,NA,"41.6","11",NA,"","7","",,NA,"54.5","4.9","3010730"
"BRETON PLOTS","53.089","-114.441","AB","13.9","0",NA,"27.6","0","2.6","0","",,NA,"95.9","0",NA,"","12","",,NA,"126.6","4.8","3010816"
"BUSBY AGCM","53.931","-113.922","AB","14.7","0",NA,"27.1","0","2.0","0","",,NA,"106.4","0",NA,"","12","",,NA,"105.9","5.4","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","15.3","0",NA,"29.9","0","4.0","0","",,NA,"52.0","0",NA,"","9","",,NA,"86.0","5.6","3010992"
"CAMROSE","53.050","-112.817","AB","15.2","0","0.8","27.9","0","5.1","0","",,NA,"82.3","0","111.0","","9","",,NA,"89.5","6.4","3011240"
"CONSORT AGDM","51.937","-110.713","AB","15.1","5",NA,"30.7","5","4.2","1","",,NA,"26.9","23",NA,"","3","",,NA,"74.5","3.2","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","14.3","4",NA,"29.7","4","1.2","4","",,NA,"40.3","4",NA,"","8","",,NA,"102.6","5.2","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","14.3","6",NA,"29.3","6","0.1","1","",,NA,"41.7","7",NA,"","4","",,NA,"94.1","4.6","3011892"
"DELBURNE AGCM","52.183","-113.176","AB","14.7","2",NA,"26.4","2","4.7","1","",,NA,"39.2","2",NA,"","6","",,NA,"97.0","4.6","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","15.1","6",NA,"27.0","4","5.4","4","",,NA,"31.8","8",NA,"","8","",,NA,"73.3","2.9","3012073"
"EDGERTON AGCM","52.778","-110.433","AB","15.1","4",NA,"28.8","3","5.0","3","",,NA,"38.6","5",NA,"","9","",,NA,"81.8","5.4","3012192"
"EDMONTON INTERNATIONAL CS","53.307","-113.606","AB","14.9","0",NA,"28.1","0","1.9","0","",,NA,"49.7","1",NA,"","8","",,NA,"101.5","9.4","3012206"
"EDMONTON BLATCHFORD","53.573","-113.517","AB","16.5","0",NA,"29.9","0","6.8","0","",,NA,"54.1","0",NA,"","10","",,NA,"63.8","18.2","3012209"
"EDMONTON NAMAO AWOS A","53.667","-113.467","AB","15.5","0",NA,"27.7","0","5.1","0","",,NA,"70.5","1",NA,"","12","",,NA,"84.4","10.6","3012212"
"EDMONTON INTL A","53.310","-113.579","AB","15.0","0",NA,"28.3","0","2.6","0","0.0","0",NA,"56.6","0",NA,"","9","",,NA,"99.9","9.9","3012216"
"EDMONTON VILLENEUVE A","53.668","-113.856","AB","15.7","11",NA,"28.0","11","3.7","11","",,NA,"63.6","11",NA,"","9","",,NA,"54.0","10.5","3012229"
"EDMONTON STONY PLAIN","53.548","-114.108","AB","15.5","0","0.8","28.3","0","6.0","0","0.0","0",NA,"70.4","0","87.0","0.0","11","",,NA,"85.6","9.2","301222F"
"ELK ISLAND NAT PARK","53.683","-112.868","AB","15.5","0","1.0","28.1","0","3.9","0","",,NA,"110.4","0","129.0","","11","",,NA,"82.6","8.9","3012275"
"FABYAN","52.967","-111.000","AB","14.3","0","-0.2","27.5","0","3.0","0","0.0","0",NA,"93.8","0","138.0","0.0","11","","",NA,"111.0","0.8","3012515"
"FERINTOSH AGCM","52.744","-112.858","AB","14.9","1",NA,"28.0","1","4.3","0","",,NA,"98.1","1",NA,"","9","",,NA,"96.3","5.5","3012590"
"FORESTBURG PLANT SITE","52.467","-112.120","AB","16.1","0","0.3","30.0","0","6.0","0","0.0","0",NA,"86.4","0","114.0","0.0","10","","",NA,"68.1","10.6","3012652"
"FORESTBURG AGCM","52.548","-112.123","AB","14.9","1",NA,"28.5","1","4.3","1","",,NA,"75.1","1",NA,"","8","",,NA,"95.8","4.9","3012653"
"FORT SASKATCHEWAN","53.717","-113.183","AB","16.5","18","1.5","28.0","18","4.0","18","0.0","18",NA,"54.5","18",NA,"0.0","7","","",NA,"25.1","6.5","3012710"
