"Environment and Climate Change Canada"
"Monthly Values for July - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","16.0","3",NA,"29.0","2","5.0","1","",,NA,"39.3","4",NA,"","6","",,NA,"56.7","1.2","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","17.3","0",NA,"27.6","0","9.1","0","",,NA,"166.1","0",NA,"","11","",,NA,"30.3","8.8","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","17.5","1",NA,"28.7","1","6.4","0","",,NA,"68.4","1",NA,"","11","",,NA,"28.6","12.9","3010162"
"ANDREW","54.017","-112.233","AB","18.5","3","1.4","30.0","3","8.0","3","0.0","3",NA,"83.4","3",NA,"","8","","",NA,"11.5","25.0","3010234"
"ANDREW AGDM","53.917","-112.279","AB","16.7","5",NA,"27.5","3","6.5","2","",,NA,"65.8","5",NA,"","10","",,NA,"35.5","1.5","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","17.5","6",NA,"28.1","5","8.6","1","",,NA,"53.2","6",NA,"","9","",,NA,"26.2","13.1","3010650"
"BODO AGDM","52.124","-110.101","AB","18.1","9",NA,"28.2","5","8.9","7","",,NA,"54.9","9",NA,"","8","",,NA,"14.1","15.3","3010730"
"BRETON PLOTS","53.089","-114.441","AB","16.4","0",NA,"27.8","0","6.0","0","",,NA,"97.9","0",NA,"","13","",,NA,"55.4","4.3","3010816"
"BUSBY AGCM","53.931","-113.922","AB","16.9","0",NA,"29.2","0","6.3","0","",,NA,"49.0","0",NA,"","9","",,NA,"41.7","7.9","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","18.1","1",NA,"28.3","1","9.2","0","",,NA,"66.7","1",NA,"","11","",,NA,"19.4","21.8","3010992"
"CAMROSE","53.050","-112.817","AB","17.1","0","0.3","27.0","0","7.4","0","",,NA,"23.2","7",NA,"","4","",,NA,"36.9","9.6","3011240"
"CARNWOOD","53.234","-114.654","AB","16.9","0",NA,"27.5","0","5.0","0","0.0","0",NA,"75.0","0",NA,"0.0","12","","",NA,"45.8","12.1","3011350"
"CONSORT AGDM","51.937","-110.713","AB","17.5","18",NA,"27.3","11","8.7","15","",,NA,"31.7","19",NA,"","10","",,NA,"12.9","6.3","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","17.1","1",NA,"27.6","1","6.7","0","",,NA,"88.9","1",NA,"","12","",,NA,"34.9","6.9","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","16.5","1",NA,"27.6","1","5.0","0","",,NA,"87.1","1",NA,"","13","",,NA,"48.6","2.9","3011892"
"DELBURNE AGCM","52.183","-113.176","AB","17.0","2",NA,"26.6","2","6.0","0","",,NA,"104.3","2",NA,"","12","",,NA,"38.0","7.7","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","17.5","6",NA,"27.9","5","7.4","1","",,NA,"117.1","6",NA,"","10","",,NA,"25.4","14.1","3012073"
"EDGERTON AGCM","52.778","-110.433","AB","18.0","8",NA,"27.9","4","9.1","5","",,NA,"120.2","9",NA,"","7","",,NA,"18.1","17.6","3012192"
"EDMONTON INTERNATIONAL CS","53.307","-113.606","AB","16.7","0",NA,"28.2","0","6.0","0","",,NA,"103.7","0",NA,"","14","",,NA,"45.3","3.7","3012206"
"EDMONTON BLATCHFORD","53.573","-113.517","AB","19.0","1",NA,"29.0","1","10.4","0","",,NA,"88.3","1",NA,"","7","",,NA,"9.3","38.9","3012209"
"EDMONTON NAMAO AWOS A","53.667","-113.467","AB","17.5","1",NA,"28.5","0","8.1","1","",,NA,"76.5","9",NA,"","13","",,NA,"28.0","12.1","3012212"
"EDMONTON INTL A","53.310","-113.579","AB","16.7","0",NA,"27.9","0","6.2","0","0.0","1",NA,"102.2","1",NA,"","13","",,NA,"44.3","3.2","3012216"
"EDMONTON VILLENEUVE A","53.668","-113.856","AB","17.5","6",NA,"27.7","6","8.2","5","",,NA,"110.9","6",NA,"","13","",,NA,"22.6","9.5","3012229"
"EDMONTON STONY PLAIN","53.548","-114.108","AB","17.9","0","0.8","28.1","0","8.0","0","0.0","0",NA,"72.8","0","71.0","0.0","13","",,NA,"23.5","18.9","301222F"
"ELK ISLAND NAT PARK","53.683","-112.868","AB","18.3","0","1.3","29.2","0","8.3","0","",,NA,"106.5","0","95.0","","13","",,NA,"15.8","25.5","3012275"
"FABYAN","52.967","-111.000","AB","16.8","5","-0.2","27.5","3","7.0","3","0.0","3",NA,"60.2","3",NA,"0.0","8","","",NA,"34.9","4.7","3012515"
"FERINTOSH AGCM","52.744","-112.858","AB","16.6","4",NA,"27.3","4","6.0","3","",,NA,"138.6","4",NA,"","13","",,NA,"40.7","3.9","3012590"
"FORESTBURG PLANT SITE","52.467","-112.120","AB","18.6","0","0.3","29.0","0","8.5","0","0.0","0",NA,"85.0","0","113.0","0.0","16","","",NA,"17.1","35.8","3012652"
"FORESTBURG AGCM","52.548","-112.123","AB","17.4","2",NA,"28.5","2","5.2","0","",,NA,"76.0","2",NA,"","10","",,NA,"28.2","11.2","3012653"
"FORT SASKATCHEWAN","53.717","-113.183","AB","18.0","15","1.0","28.5","15","2.0","15","0.0","17",NA,"79.0","15",NA,"0.0","9","","",NA,"12.7","13.4","3012710"
"GILT EDGE NORTH AGCM","53.071","-110.621","AB","17.7","5",NA,"28.0","5","7.4","0","",,NA,"57.4","5",NA,"","8","",,NA,"21.2","12.7","3012790"
"GLENEVIS AGCM","53.833","-114.539","AB","17.3","8",NA,"28.4","6","6.9","2","",,NA,"",,NA,"","","",,NA,"27.2","10.3","3012818"
"HALKIRK AGCM","52.116","-112.164","AB","17.0","0",NA,"27.8","0","5.2","0","",,NA,"61.1","18",NA,"","8","",,NA,"40.2","7.9","3012999"
"HEMARUKA AGCM","51.780","-111.212","AB","17.5","2",NA,"28.4","2","8.6","0","",,NA,"95.5","6",NA,"","10","",,NA,"27.9","14.1","3013140"
"HOLDEN AGDM","53.185","-112.246","AB","16.8","7",NA,"26.4","5","7.4","3","",,NA,"77.3","7",NA,"","10","",,NA,"33.1","3.3","3013340"
"HUGHENDEN AGCM","52.578","-110.784","AB","17.4","7",NA,"27.7","7","9.1","1","",,NA,"63.4","7",NA,"","11","",,NA,"21.8","8.3","3013362"
"KILLAM AGDM","52.848","-111.872","AB","16.9","4",NA,"27.4","2","7.4","2","",,NA,"73.2","5",NA,"","21","",,NA,"35.2","6.1","3013640"
"KESSLER AGCM","52.290","-111.113","AB","17.5","6",NA,"28.5","4","7.5","2","",,NA,"51.0","6",NA,"","11","",,NA,"23.2","11.9","3013644"
"KITSCOTY AGCM","53.353","-110.416","AB","17.0","6",NA,"27.3","5","9.3","2","",,NA,"103.3","6",NA,"","15","",,NA,"31.3","6.9","3013660"
"LEGAL AGCM","54.003","-113.474","AB","17.0","11",NA,"28.6","7","7.2","6","",,NA,"55.7","12",NA,"","6","",,NA,"25.8","6.3","3013790"
"LINDBERGH AGDM","53.943","-110.579","AB","15.9","7",NA,"26.5","6","6.0","2","",,NA,"64.2","8",NA,"","8","",,NA,"50.2","0.9","3013921"
"LLOYDMINSTER","53.309","-110.073","AB","17.5","8",NA,"27.3","8","7.9","8","",,NA,"109.1","8",NA,"","11","",,NA,"22.7","10.9","3013959"
"LLOYDMINSTER A","53.309","-110.073","AB","17.4","8","0.4","27.5","8","9.0","8","0.0","8",NA,"79.8","8",NA,"0.0","10","","",NA,"22.6","9.6","3013961"
"HOLDEN SOUTH","53.083","-112.267","AB","",,NA,"",,"",,"0.0","0",NA,"95.4","0","121.0","0.0","16","","",NA,"","","3013C44"
"MANNVILLE AGCM","53.456","-111.255","AB","16.9","0",NA,"27.2","0","7.7","0","",,NA,"117.3","0",NA,"","13","",,NA,"41.2","6.2","3014195"
"MONITOR","52.017","-110.550","AB","",,NA,"",,"",,"0.0","0",NA,"108.0","0","165.0","0.0","17","","",NA,"","","3014600"
"MUNDARE AGDM","53.567","-112.300","AB","17.8","16",NA,"27.5","13","7.7","7","",,NA,"37.7","16",NA,"","6","",,NA,"7.8","4.2","3014665"
"MYRNAM AGCM","53.720","-111.114","AB","17.1","8",NA,"28.3","7","6.6","3","",,NA,"65.6","8",NA,"","8","",,NA,"25.9","5.2","3014690"
"NEW SAREPTA AGCM","53.262","-113.165","AB","16.9","3",NA,"27.7","2","7.3","1","",,NA,"145.0","4",NA,"","13","",,NA,"35.0","5.3","3014795"
"OLIVER AGDM","53.650","-113.350","AB","17.3","4",NA,"28.5","3","6.0","1","",,NA,"",,NA,"","","",,NA,"28.8","9.1","3014921"
"RADWAY AGCM","53.995","-112.879","AB","17.1","0",NA,"28.3","0","7.6","0","",,NA,"",,NA,"","","",,NA,"33.6","6.9","3015346"
"RANFURLY AUTO","53.425","-111.726","AB","17.5","1",NA,"27.4","1","9.4","0","",,NA,"87.3","1",NA,"","12","",,NA,"26.8","12.2","3015401"
"RIBSTONE SOUTH AGCM","52.587","-110.343","AB","17.7","3",NA,"29.2","3","8.4","0","",,NA,"55.8","5",NA,"","11","",,NA,"23.2","14.2","3015480"
"RIVERCOURSE AGCM","53.019","-110.102","AB","17.3","1",NA,"28.4","1","8.3","0","",,NA,"102.3","1",NA,"","10","",,NA,"31.8","10.2","3015501"
"ROCKY MTN HOUSE (AUT)","52.421","-114.912","AB","15.4","0",NA,"26.8","0","4.4","0","",,NA,"101.8","0",NA,"","17","",,NA,"82.7","1.9","3015523"
"ROSALIND AGCM","52.780","-112.428","AB","17.2","0",NA,"27.9","0","6.5","0","",,NA,"86.9","0",NA,"","10","",,NA,"36.6","11.5","3015600"
"ST. LINA AGCM","54.282","-111.453","AB","17.3","8",NA,"27.7","7","6.3","4","",,NA,"83.7","9",NA,"","11","",,NA,"21.5","5.2","3015673"
"ST. PAUL AGCM","54.011","-111.272","AB","17.2","16",NA,"26.2","13","7.5","7","",,NA,"46.3","16",NA,"","5","",,NA,"15.0","2.8","3015676"
"SEDALIA AGCM","51.590","-110.755","AB","18.1","1",NA,"28.5","1","7.9","0","",,NA,"78.7","2",NA,"","14","",,NA,"21.7","25.8","3015797"
"SEDGEWICK TOWN","52.783","-111.700","AB","17.9","2","0.9","30.0","1","8.0","1","0.0","1",NA,"44.6","1",NA,"0.0","14","","",NA,"24.0","22.0","3015808"
"SHONTS AGCM","53.333","-112.539","AB","16.9","9",NA,"26.8","7","7.0","6","",,NA,"59.2","9",NA,"","7","",,NA,"26.3","2.4","3015900"
"SMOKY LAKE AGDM","54.278","-112.499","AB","16.7","1",NA,"28.8","1","7.2","0","",,NA,"45.6","3",NA,"","7","",,NA,"46.4","8.8","3016022"
"SPONDIN AGCM","51.816","-111.683","AB","17.3","12",NA,"29.5","12","6.9","4","",,NA,"58.0","12",NA,"","16","",,NA,"20.6","6.9","3016070"
"STETTLER AGDM","52.347","-112.596","AB","17.1","3",NA,"28.1","3","6.3","1","",,NA,"69.3","3",NA,"","9","",,NA,"33.0","8.9","3016124"
"THORSBY AGCM","53.217","-113.895","AB","16.7","7",NA,"28.6","5","7.6","3","",,NA,"120.5","7",NA,"","12","",,NA,"35.9","4.6","3016441"
