"Environment and Climate Change Canada"
"Monthly Values for August - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","14.5","5",NA,"28.0","3","-1.8","2","",,NA,"14.5","5",NA,"","5","",,NA,"92.3","1.4","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","16.2","0",NA,"29.9","0","-0.2","0","",,NA,"29.5","0",NA,"","7","",,NA,"65.2","10.4","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","16.4","28",NA,"28.3","15","2.4","27","",,NA,"0.0","28",NA,"","0","",,NA,"7.7","2.8","3010162"
"ANDREW","54.017","-112.233","AB","16.2","10","0.2","30.0","10","2.0","10","0.0","10",NA,"36.0","10",NA,"","7","","",NA,"45.5","8.0","3010234"
"ANDREW AGDM","53.917","-112.279","AB","15.2","1",NA,"26.9","1","0.8","0","",,NA,"84.5","1",NA,"","12","",,NA,"84.8","1.1","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","16.4","13",NA,"28.4","9","2.6","9","",,NA,"28.1","13",NA,"","3","",,NA,"32.7","3.9","3010650"
"BODO AGDM","52.124","-110.101","AB","15.9","3",NA,"27.3","3","2.4","0","",,NA,"67.9","3",NA,"","10","",,NA,"64.3","4.4","3010730"
"BRETON PLOTS","53.089","-114.441","AB","15.4","0",NA,"26.0","0","3.4","0","",,NA,"109.5","1",NA,"","9","",,NA,"82.6","1.1","3010816"
"BUSBY AGCM","53.931","-113.922","AB","15.8","0",NA,"27.8","0","-0.3","0","",,NA,"116.6","0",NA,"","11","",,NA,"72.5","4.3","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","16.6","1",NA,"30.1","0","3.0","1","",,NA,"68.0","1",NA,"","8","",,NA,"53.9","11.4","3010992"
"CALMAR","53.290","-113.863","AB","",,"","20.0","30","11.0","30","0.0","30",NA,"10.8","30",NA,"","1","","",NA,"","","3011120"
"CAMROSE","53.050","-112.817","AB","15.8","0","0.0","29.2","0","3.3","0","",,NA,"30.5","3",NA,"","6","",,NA,"76.6","8.7","3011240"
"CARNWOOD","53.234","-114.654","AB","16.0","4",NA,"26.5","4","4.5","4","0.0","4",NA,"195.0","4",NA,"0.0","16","","",NA,"56.8","1.8","3011350"
"CONSORT AGDM","51.937","-110.713","AB","15.7","2",NA,"27.2","2","3.8","0","",,NA,"84.1","7",NA,"","15","",,NA,"68.8","3.3","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","15.5","0",NA,"28.5","0","2.6","0","",,NA,"81.2","0",NA,"","11","",,NA,"83.4","4.7","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","14.9","6",NA,"26.0","6","1.4","1","",,NA,"50.0","6",NA,"","6","",,NA,"77.7","0.7","3011892"
"DELBURNE AGCM","52.183","-113.176","AB","16.2","1",NA,"28.7","0","6.1","1","",,NA,"127.5","2",NA,"","10","",,NA,"62.1","8.7","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","16.2","6",NA,"29.4","6","1.6","0","",,NA,"58.7","7",NA,"","10","",,NA,"50.2","5.8","3012073"
"EDGERTON AGCM","52.778","-110.433","AB","16.3","0",NA,"28.8","0","2.4","0","",,NA,"38.6","1",NA,"","8","",,NA,"60.8","7.9","3012192"
"EDMONTON INTERNATIONAL CS","53.307","-113.606","AB","15.4","0",NA,"27.6","0","0.9","0","",,NA,"74.1","0",NA,"","10","",,NA,"84.7","2.8","3012206"
"EDMONTON BLATCHFORD","53.573","-113.517","AB","17.7","0",NA,"27.9","0","5.4","0","",,NA,"73.4","0",NA,"","9","",,NA,"35.7","24.9","3012209"
"EDMONTON NAMAO AWOS A","53.667","-113.467","AB","16.2","1",NA,"27.5","1","1.5","0","",,NA,"46.5","3",NA,"","10","",,NA,"60.5","7.1","3012212"
"EDMONTON INTL A","53.310","-113.579","AB","15.4","2",NA,"27.5","2","0.7","0","0.0","2",NA,"72.5","1",NA,"","10","",,NA,"78.6","3.9","3012216"
"EDMONTON VILLENEUVE A","53.668","-113.856","AB","16.6","8",NA,"26.8","8","2.0","8","",,NA,"89.4","8",NA,"","9","",,NA,"38.5","6.7","3012229"
"EDMONTON STONY PLAIN","53.548","-114.108","AB","16.9","0","0.9","27.0","0","4.8","0","0.0","0","0.0","113.0","0","178.0","0.0","11","",,NA,"46.9","11.7","301222F"
"ELK ISLAND NAT PARK","53.683","-112.868","AB","16.8","0","1.1","29.3","0","3.6","0","",,NA,"103.8","0","198.0","","10","",,NA,"52.3","15.7","3012275"
"FABYAN","52.967","-111.000","AB","15.5","0","-0.4","29.0","0","1.0","0","0.0","0","0.0","34.8","0","57.0","0.0","9","","",NA,"82.3","4.4","3012515"
"FERINTOSH AGCM","52.744","-112.858","AB","15.6","4",NA,"27.2","4","2.3","1","",,NA,"47.5","4",NA,"","8","",,NA,"67.6","3.1","3012590"
"FORESTBURG PLANT SITE","52.467","-112.120","AB","17.2","0","-0.2","30.0","0","4.0","0","0.0","0",NA,"128.4","0","230.0","0.0","11","","",NA,"41.8","16.8","3012652"
"FORESTBURG AGCM","52.548","-112.123","AB","15.8","0",NA,"29.5","0","1.3","0","",,NA,"92.7","0",NA,"","11","",,NA,"73.6","5.0","3012653"
"FORT SASKATCHEWAN","53.717","-113.183","AB","17.7","9","1.7","28.5","9","4.0","9","0.0","11",NA,"48.6","10",NA,"","8","","",NA,"26.6","19.1","3012710"
"GILT EDGE NORTH AGCM","53.071","-110.621","AB","16.6","3",NA,"29.8","2","1.9","1","",,NA,"64.3","5",NA,"","7","",,NA,"49.2","11.1","3012790"
"GLENEVIS AGCM","53.833","-114.539","AB","16.1","3",NA,"26.4","3","4.4","0","",,NA,"",,NA,"","","",,NA,"55.3","2.6","3012818"
"HALKIRK AGCM","52.116","-112.164","AB","15.5","0",NA,"28.6","0","2.7","0","",,NA,"51.2","21",NA,"","5","",,NA,"82.2","4.8","3012999"
"HEMARUKA AGCM","51.780","-111.212","AB","15.9","0",NA,"30.0","0","2.5","0","",,NA,"60.8","14",NA,"","6","",,NA,"73.6","9.9","3013140"
"HOLDEN AGDM","53.185","-112.246","AB","15.2","4",NA,"27.5","3","1.2","1","",,NA,"38.4","5",NA,"","9","",,NA,"76.5","2.1","3013340"
"HUGHENDEN AGCM","52.578","-110.784","AB","16.5","4",NA,"29.4","1","1.8","3","",,NA,"74.7","4",NA,"","7","",,NA,"49.5","7.7","3013362"
"KILLAM AGDM","52.848","-111.872","AB","14.8","13",NA,"28.0","12","0.5","6","",,NA,"18.8","13",NA,"","7","",,NA,"59.0","2.0","3013640"
"KESSLER AGCM","52.290","-111.113","AB","16.2","4",NA,"28.7","2","0.3","2","",,NA,"34.1","3",NA,"","6","",,NA,"55.1","5.5","3013644"
"KITSCOTY AGCM","53.353","-110.416","AB","16.3","1",NA,"28.2","1","2.4","0","",,NA,"73.6","2",NA,"","12","",,NA,"59.5","8.8","3013660"
"LEGAL AGCM","54.003","-113.474","AB","15.9","6",NA,"28.0","3","3.6","3","",,NA,"37.8","6",NA,"","8","",,NA,"55.1","2.5","3013790"
"LINDBERGH AGDM","53.943","-110.579","AB","14.3","5",NA,"25.8","4","-1.3","1","",,NA,"37.4","6",NA,"","8","",,NA,"95.7","0.0","3013921"
"LLOYDMINSTER","53.309","-110.073","AB","16.6","12",NA,"28.3","12","4.1","11","",,NA,"40.1","12",NA,"","8","",,NA,"33.7","6.8","3013959"
"LLOYDMINSTER A","53.309","-110.073","AB","16.3","0","0.4","28.0","0","2.5","0","0.0","0","0.0","140.6","0","235.0","0.0","11","","",NA,"61.5","7.6","3013961"
"HOLDEN SOUTH","53.083","-112.267","AB","",,NA,"",,"",,"0.0","1",NA,"72.2","1",NA,"","11","","",NA,"","","3013C44"
"MANNVILLE AGCM","53.456","-111.255","AB","16.0","0",NA,"28.8","0","1.7","0","",,NA,"56.7","0",NA,"","10","",,NA,"69.2","7.3","3014195"
"MONITOR","52.017","-110.550","AB","",,NA,"",,"",,"0.0","0",NA,"63.0","0","117.0","0.0","10","","",NA,"","","3014600"
"MUNDARE AGDM","53.567","-112.300","AB","15.3","5",NA,"26.6","4","1.7","2","",,NA,"51.2","6",NA,"","11","",,NA,"72.1","1.7","3014665"
"MYRNAM AGCM","53.720","-111.114","AB","15.4","10",NA,"29.1","8","-1.2","3","",,NA,"41.1","10",NA,"","5","",,NA,"57.0","2.7","3014690"
