"Environment and Climate Change Canada"
"Monthly Values for September - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","9.6","9",NA,"26.6","8","-2.8","2","",,NA,"22.9","10",NA,"","4","",,NA,"176.3","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","11.4","0",NA,"33.2","0","-3.0","0","",,NA,"22.9","0",NA,"","6","",,NA,"197.9","0.8","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","12.2","0",NA,"33.8","0","-1.7","0","",,NA,"27.1","0",NA,"","6","",,NA,"183.3","8.6","3010162"
"ANDREW","54.017","-112.233","AB","11.5","4","1.1","29.0","4","-1.0","4","0.0","4",NA,"39.2","4",NA,"","9","","",NA,"170.6","0.5","3010234"
"ANDREW AGDM","53.917","-112.279","AB","10.7","2",NA,"27.3","2","-1.8","0","",,NA,"19.3","2",NA,"","5","",,NA,"203.8","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","13.3","6",NA,"34.0","6","-0.1","0","",,NA,"14.6","8",NA,"","3","",,NA,"121.0","8.5","3010650"
"BODO AGDM","52.124","-110.101","AB","12.2","4",NA,"34.5","3","-0.9","1","",,NA,"22.1","4",NA,"","3","",,NA,"154.8","4.9","3010730"
"BRETON PLOTS","53.089","-114.441","AB","11.1","0",NA,"30.7","0","0.4","0","",,NA,"76.8","0",NA,"","8","",,NA,"208.9","0.9","3010816"
"BUSBY AGCM","53.931","-113.922","AB","10.7","0",NA,"31.0","0","-2.3","0","",,NA,"56.2","1",NA,"","7","",,NA,"220.9","1.9","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","12.3","0",NA,"33.2","0","-1.5","0","",,NA,"26.7","2",NA,"","4","",,NA,"179.3","7.3","3010992"
"CAMROSE","53.050","-112.817","AB","11.2","0","0.8","31.1","0","-0.7","0","",,NA,"50.5","0","127.0","","7","",,NA,"205.0","0.0","3011240"
"CONSORT AGDM","51.937","-110.713","AB","11.7","4",NA,"31.4","4","-0.9","1","",,NA,"",,NA,"","","",,NA,"166.5","3.6","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","11.2","0",NA,"32.8","0","-4.4","0","",,NA,"24.4","0",NA,"","4","",,NA,"205.6","2.5","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","11.6","4",NA,"31.1","4","-1.8","1","",,NA,"20.8","4",NA,"","5","",,NA,"167.4","0.0","3011892"
"DELBURNE AGCM","52.183","-113.176","AB","12.5","2",NA,"31.8","2","-0.5","0","",,NA,"13.2","3",NA,"","2","",,NA,"160.6","5.7","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","11.4","5",NA,"28.0","5","-2.4","1","",,NA,"12.8","6",NA,"","4","",,NA,"166.0","0.0","3012073"
"EDGERTON AGCM","52.778","-110.433","AB","12.1","6",NA,"32.8","5","-2.3","4","",,NA,"5.2","7",NA,"","1","",,NA,"147.1","4.6","3012192"
"EDMONTON INTERNATIONAL CS","53.307","-113.606","AB","10.9","0",NA,"32.2","0","-0.4","0","",,NA,"60.5","0",NA,"","6","",,NA,"213.5","0.0","3012206"
"EDMONTON BLATCHFORD","53.573","-113.517","AB","12.7","2",NA,"32.2","2","0.9","0","",,NA,"45.0","2",NA,"","6","",,NA,"152.9","4.4","3012209"
"EDMONTON NAMAO AWOS A","53.667","-113.467","AB","11.5","0",NA,"31.3","0","-1.3","0","",,NA,"35.5","0",NA,"","6","",,NA,"194.5","0.7","3012212"
"EDMONTON INTL A","53.310","-113.579","AB","11.0","0",NA,"32.6","0","-0.7","0","8.4","0",NA,"65.7","0",NA,"","6","",,NA,"209.9","0.0","3012216"
"EDMONTON VILLENEUVE A","53.668","-113.856","AB","12.2","3",NA,"31.3","3","-2.1","3","",,NA,"29.8","3",NA,"","6","",,NA,"157.9","1.0","3012229"
"EDMONTON STONY PLAIN","53.548","-114.108","AB","12.1","0","1.1","32.0","0","-0.1","0","11.2","0","794.0","73.0","0","165.0","0.0","7","",,NA,"180.8","5.0","301222F"
"ELK ISLAND NAT PARK","53.683","-112.868","AB","11.6","0","1.5","30.1","0","-0.6","0","",,NA,"44.7","0","83.0","","6","",,NA,"193.4","1.7","3012275"
"FABYAN","52.967","-111.000","AB","10.6","0","0.2","32.0","0","-5.0","0","0.0","0","0.0","38.4","0","101.0","0.0","7","","",NA,"223.7","2.3","3012515"
"FERINTOSH AGCM","52.744","-112.858","AB","10.2","9",NA,"31.2","8","-0.2","3","",,NA,"30.2","10",NA,"","3","",,NA,"164.1","0.0","3012590"
"FORESTBURG PLANT SITE","52.467","-112.120","AB","12.7","0","0.9","32.0","0","-0.5","0","0.0","0","0.0","38.8","0","100.0","0.0","7","","",NA,"166.4","7.6","3012652"
"FORESTBURG AGCM","52.548","-112.123","AB","11.9","3",NA,"31.4","3","-2.0","1","",,NA,"15.5","3",NA,"","3","",,NA,"168.2","2.3","3012653"
"FORT SASKATCHEWAN","53.717","-113.183","AB","12.2","8","1.3","31.0","8","-4.0","7","0.0","7",NA,"30.0","7",NA,"","4","","",NA,"131.5","3.3","3012710"
"GILT EDGE NORTH AGCM","53.071","-110.621","AB","12.1","3",NA,"32.8","3","-2.8","0","",,NA,"8.0","4",NA,"","3","",,NA,"162.3","3.1","3012790"
"GLENEVIS AGCM","53.833","-114.539","AB","11.0","5",NA,"28.6","4","-1.0","1","",,NA,"",,NA,"","","",,NA,"174.0","0.0","3012818"
"HALKIRK AGCM","52.116","-112.164","AB","11.4","0",NA,"31.9","0","-2.6","0","",,NA,"28.9","23",NA,"","5","",,NA,"200.9","3.6","3012999"
"HEMARUKA AGCM","51.780","-111.212","AB","11.8","0",NA,"34.3","0","-3.2","0","",,NA,"15.4","9",NA,"","3","",,NA,"192.0","6.7","3013140"
"HOLDEN AGDM","53.185","-112.246","AB","10.4","11",NA,"31.3","6","-2.0","5","",,NA,"27.1","12",NA,"","4","",,NA,"145.4","0.3","3013340"
"HUGHENDEN AGCM","52.578","-110.784","AB","11.0","6",NA,"33.6","4","-2.9","3","",,NA,"12.1","8",NA,"","3","",,NA,"167.6","0.0","3013362"
"KILLAM AGDM","52.848","-111.872","AB","11.2","5",NA,"32.3","5","-2.6","0","",,NA,"44.7","6",NA,"","14","",,NA,"172.6","1.5","3013640"
"KITSCOTY AGCM","53.353","-110.416","AB","11.7","7",NA,"31.7","6","-1.4","2","",,NA,"9.2","8",NA,"","2","",,NA,"147.6","2.8","3013660"
"LEGAL AGCM","54.003","-113.474","AB","11.9","4",NA,"32.0","4","-1.7","0","",,NA,"33.7","6",NA,"","4","",,NA,"160.4","2.1","3013790"
"LINDBERGH AGDM","53.943","-110.579","AB","10.4","9",NA,"26.0","7","-3.4","5","",,NA,"5.5","9",NA,"","2","",,NA,"159.3","0.0","3013921"
"LLOYDMINSTER","53.309","-110.073","AB","11.8","5",NA,"31.4","5","-1.6","5","",,NA,"16.7","5",NA,"","3","",,NA,"156.7","2.8","3013959"
"LLOYDMINSTER A","53.309","-110.073","AB","11.7","0","1.5","31.5","0","-1.0","0","0.0","0","0.0","19.4","0","46.0","0.0","4","","",NA,"191.6","2.9","3013961"
"HOLDEN SOUTH","53.083","-112.267","AB","",,NA,"",,"",,"0.0","0","0.0","44.0","0","107.0","0.0","7","","",NA,"","","3013C44"
"MANNVILLE AGCM","53.456","-111.255","AB","11.7","0",NA,"31.4","0","-1.6","0","",,NA,"24.4","1",NA,"","7","",,NA,"192.5","3.0","3014195"
"MONITOR","52.017","-110.550","AB","",,NA,"",,"",,"0.0","0","0.0","16.4","0","48.0","0.0","4","","",NA,"","","3014600"
"MUNDARE AGDM","53.567","-112.300","AB","10.8","8",NA,"24.3","6","-1.8","3","",,NA,"22.5","8",NA,"","5","",,NA,"159.5","0.0","3014665"
"MYRNAM AGCM","53.720","-111.114","AB","11.0","4",NA,"31.0","3","-4.5","1","",,NA,"8.5","3",NA,"","3","",,NA,"181.2","0.0","3014690"
"NEW SAREPTA AGCM","53.262","-113.165","AB","11.0","5",NA,"31.1","5","-1.3","1","",,NA,"45.7","6",NA,"","6","",,NA,"177.3","1.5","3014795"
"OLIVER AGDM","53.650","-113.350","AB","10.9","5",NA,"29.1","5","-1.1","0","",,NA,"",,NA,"","","",,NA,"177.6","0.0","3014921"
"RADWAY AGCM","53.995","-112.879","AB","11.0","0",NA,"31.8","0","-3.1","0","",,NA,"",,NA,"","","",,NA,"208.9","0.1","3015346"
"RANFURLY AUTO","53.425","-111.726","AB","11.9","0",NA,"31.5","0","-0.7","0","",,NA,"22.9","0",NA,"","4","",,NA,"188.5","5.2","3015401"
"RIBSTONE SOUTH AGCM","52.587","-110.343","AB","11.2","3",NA,"32.9","2","-3.2","1","",,NA,"15.5","3",NA,"","3","",,NA,"184.1","0.8","3015480"
"RIVERCOURSE AGCM","53.019","-110.102","AB","12.3","6",NA,"29.5","6","-3.1","1","",,NA,"8.8","6",NA,"","1","",,NA,"136.6","0.2","3015501"
"ROCKY MTN HOUSE (AUT)","52.421","-114.912","AB","10.1","1",NA,"31.4","1","-2.1","0","",,NA,"74.2","1",NA,"","7","",,NA,"230.4","0.9","3015523"
"ROSALIND AGCM","52.780","-112.428","AB","11.3","0",NA,"33.4","0","-2.3","0","",,NA,"44.2","1",NA,"","6","",,NA,"201.1","1.0","3015600"
"ST. LINA AGCM","54.282","-111.453","AB","11.2","4",NA,"27.8","3","-3.1","1","",,NA,"21.2","2",NA,"","5","",,NA,"176.3","0.0","3015673"
